診療科名,タイプ,診療科コード,表示順,評価対象,備考
泌尿器科,外科系,U,1,True,
眼科,外科系,E,2,True,
産婦人科,外科系,G,3,True,
整形外科,外科系,OR,4,True,
耳鼻咽喉科,外科系,ENT,5,True,
消化器内科,内科系,GI,6,True,
乳腺外科,外科系,BR,7,True,
循環器内科,内科系,CV,8,True,
呼吸器内科,内科系,RS,9,True,
総合内科,内科系,GM,10,True,
皮膚科,外科系,DM,11,True,
一般消化器外科,外科系,GS,12,True,
リウマチ膠原病内科,内科系,RH,13,True,
歯科口腔外科,外科系,OS,14,True,
放射線治療科,その他,RT,15,True,
血液内科,内科系,HE,16,True,
腎内科,内科系,NE,17,True,
入退院支援センター,その他,AD,18,False,運用系
小児科,内科系,PD,19,True,
脳神経内科,内科系,NR,20,True,
形成外科,外科系,PS,21,True,
外来手術室,その他,OT,22,False,運用系
救急科,その他,ER,23,True,
麻酔科,その他,AN,24,False,運用系
内科,内科系,IM,25,True,
メンタルケア科,内科系,MN,26,True,
脳神経外科,外科系,NS,27,True,
心臓血管外科,外科系,CS,28,True,
呼吸器外科,外科系,RS2,29,True,
臨床腫瘍科,内科系,ON,30,True,
アレルギー科,内科系,AL,31,True,
糖尿病内分泌内科,内科系,DB,32,True,
