診療科名,予約担当者匿名ID,曜日,初再診区分,紹介状有無,件数
PICCCVポートセンター,DR_XX009,0,再診,紹介状無し,16
PICCCVポートセンター,DR_XX009,1,再診,紹介状無し,10
PICCCVポートセンター,DR_XX009,2,再診,紹介状無し,12
PICCCVポートセンター,DR_XX009,3,再診,紹介状無し,12
PICCCVポートセンター,DR_XX009,4,再診,紹介状無し,23
がんゲノム,DR_ON001,0,再診,紹介状無し,6
がんゲノム,DR_ON001,1,再診,紹介状無し,11
アレルギー科,DR_AL001,2,再診,紹介状無し,27
アレルギー科,DR_AL002,3,再診,紹介状無し,40
アレルギー科,DR_AL002,3,初診,紹介状あり,1
アレルギー科,DR_AL003,2,再診,紹介状無し,2
アレルギー科,DR_AL004,0,再診,紹介状無し,1
アレルギー科,DR_AL004,3,再診,紹介状無し,1
アレルギー科,DR_RS2003,1,再診,紹介状無し,41
アレルギー科,DR_RS2005,0,再診,紹介状無し,28
ソーシャルワーカー,DR_XX001,0,再診,紹介状無し,25
ソーシャルワーカー,DR_XX001,1,再診,紹介状無し,29
ソーシャルワーカー,DR_XX001,2,再診,紹介状無し,31
ソーシャルワーカー,DR_XX001,3,再診,紹介状無し,17
ソーシャルワーカー,DR_XX001,4,再診,紹介状無し,21
ソーシャルワーカー,DR_XX031,3,再診,紹介状無し,1
ソーシャルワーカー,DR_XX034,3,再診,紹介状無し,1
メンタルケア科,DR_MN001,0,再診,紹介状無し,4
メンタルケア科,DR_MN001,2,再診,紹介状無し,135
メンタルケア科,DR_MN002,0,再診,紹介状無し,22
メンタルケア科,DR_MN002,1,再診,紹介状無し,12
メンタルケア科,DR_MN002,2,再診,紹介状無し,23
メンタルケア科,DR_MN002,3,再診,紹介状無し,17
メンタルケア科,DR_MN002,4,再診,紹介状無し,15
メンタルケア科,DR_MN004,0,再診,紹介状無し,61
メンタルケア科,DR_MN004,3,再診,紹介状無し,5
メンタルケア科,DR_MN005,2,再診,紹介状無し,8
メンタルケア科,DR_MN005,4,再診,紹介状無し,1
メンタルケア科,DR_MN007,3,再診,紹介状無し,5
メンタルケア科,DR_MN008,2,再診,紹介状無し,5
メンタルケア科,DR_MN008,3,再診,紹介状無し,1
メンタルケア科,DR_MN008,4,再診,紹介状無し,1
メンタルケア科,DR_MN009,1,再診,紹介状無し,43
メンタルケア科,DR_MN009,4,再診,紹介状無し,3
メンタルケア科,DR_MN010,3,再診,紹介状無し,1
メンタルケア科,DR_MN010,4,再診,紹介状無し,1
