診療科名,併科診療科略称名1,曜日,初再診区分,件数
PICCCVポートセンター,SW,3,再診,1
PICCCVポートセンター,乳腺,2,再診,1
PICCCVポートセンター,乳腺,3,再診,1
PICCCVポートセンター,循環,1,再診,1
PICCCVポートセンター,感染,0,再診,1
PICCCVポートセンター,整形,2,再診,1
PICCCVポートセンター,歯口,4,再診,1
PICCCVポートセンター,眼科,3,再診,1
PICCCVポートセンター,総合,3,再診,1
PICCCVポートセンター,脳内,2,再診,1
PICCCVポートセンター,血液,4,再診,1
がんゲノム,乳腺,0,再診,1
がんゲノム,乳腺,1,再診,1
がんゲノム,呼吸,1,再診,1
がんゲノム,歯口,0,再診,1
がんゲノム,歯口,1,再診,1
がんゲノム,看護,1,再診,4
がんゲノム,耳鼻,1,再診,1
アレルギー科,呼吸,0,再診,6
アレルギー科,呼吸,0,初診,1
アレルギー科,呼吸,2,再診,1
アレルギー科,呼吸,3,再診,4
アレルギー科,形成,1,再診,1
アレルギー科,循環,0,再診,1
アレルギー科,循環,2,再診,1
アレルギー科,循環,3,再診,1
アレルギー科,放射,3,再診,2
アレルギー科,整形,1,再診,2
アレルギー科,歯口,1,再診,1
アレルギー科,泌尿,0,再診,2
アレルギー科,消化,1,再診,1
アレルギー科,消化,3,再診,1
アレルギー科,皮膚,1,再診,1
アレルギー科,皮膚,2,再診,2
アレルギー科,眼科,2,再診,3
アレルギー科,眼科,3,再診,1
アレルギー科,総合,1,再診,1
アレルギー科,総合,2,再診,2
アレルギー科,耳鼻,0,再診,2
アレルギー科,耳鼻,3,再診,3
アレルギー科,脳内,0,再診,1
アレルギー科,腎内,3,再診,2
アレルギー科,膠原,1,再診,2
アレルギー科,膠原,3,再診,1
アレルギー科,般外,1,再診,1
アレルギー科,般外,3,再診,4
アレルギー科,薬剤,2,再診,1
アレルギー科,血液,0,再診,1
アレルギー科,血液,1,再診,1
ソーシャルワーカー,乳腺,3,再診,1
ソーシャルワーカー,入退,0,再診,1
ソーシャルワーカー,入退,4,再診,1
ソーシャルワーカー,呼吸,1,再診,1
ソーシャルワーカー,循環,1,再診,1
ソーシャルワーカー,救急,0,再診,1
ソーシャルワーカー,整形,1,再診,1
ソーシャルワーカー,整形,2,再診,3
ソーシャルワーカー,整形,4,再診,2
ソーシャルワーカー,歯口,0,再診,1
ソーシャルワーカー,歯口,3,再診,4
ソーシャルワーカー,歯口,4,再診,1
ソーシャルワーカー,泌尿,2,再診,2
ソーシャルワーカー,泌尿,3,再診,1
ソーシャルワーカー,消化,1,再診,1
ソーシャルワーカー,消化,4,再診,2
ソーシャルワーカー,皮排,4,再診,1
ソーシャルワーカー,眼科,0,再診,1
ソーシャルワーカー,総合,0,再診,1
ソーシャルワーカー,耳鼻,1,再診,2
ソーシャルワーカー,耳鼻,3,再診,3
ソーシャルワーカー,耳鼻,4,再診,1
ソーシャルワーカー,脳内,2,再診,2
ソーシャルワーカー,膠原,0,再診,1
ソーシャルワーカー,膠原,3,再診,1
ソーシャルワーカー,臨床,4,再診,1
ソーシャルワーカー,血液,2,再診,2
ソーシャルワーカー,退院,2,再診,1
ソーシャルワーカー,麻酔,0,再診,1
ソーシャルワーカー,麻酔,4,再診,1
ソーシャルワーカー,ﾒﾝﾀﾙ,4,再診,2
メンタルケア科,SW,4,再診,1
メンタルケア科,リハ,4,再診,1
メンタルケア科,乳腺,2,再診,3
メンタルケア科,乳腺,4,再診,1
