診療科名,医師匿名ID,予約名称,月,再診件数,短時間再診件数,短時間再診比率,紹介状なし再診件数,紹介状なし再診比率,診察時間中央値_再診,スコア
PICCCVポートセンター,DR_XX009,SL_0009,2025-05,56,52,0.929,56,1.0,0.0,97.6
がんゲノム,DR_ON001,SL_0088,2025-05,16,1,0.062,16,1.0,28.0,40.5
がんゲノム,DR_XX039,SL_0005,2025-05,1,0,0.0,1,1.0,,
アレルギー科,DR_AL002,SL_0189,2025-05,48,11,0.229,48,1.0,6.5,67.7
アレルギー科,DR_RS2003,SL_0061,2025-05,28,6,0.214,28,1.0,6.5,67.2
アレルギー科,DR_RS2005,SL_0100,2025-05,29,6,0.207,29,1.0,7.0,66.5
アレルギー科,DR_AL001,SL_0033,2025-05,21,6,0.286,21,1.0,10.5,65.6
アレルギー科,DR_AL002,SL_0009,2025-05,4,2,0.5,4,1.0,5.5,
アレルギー科,DR_AL003,SL_0009,2025-05,4,1,0.25,4,1.0,6.5,
アレルギー科,DR_AL004,SL_0005,2025-05,1,0,0.0,1,1.0,,
アレルギー科,DR_RS2003,SL_0874,2025-05,1,0,0.0,1,1.0,5.0,
アレルギー科,DR_RS2005,SL_0009,2025-05,5,3,0.6,5,1.0,0.0,
ソーシャルワーカー,DR_XX001,SL_0011,2025-05,94,76,0.809,94,1.0,0.0,93.6
ソーシャルワーカー,DR_XX001,SL_0009,2025-05,26,10,0.385,26,1.0,0.0,79.5
ソーシャルワーカー,DR_XX030,SL_0009,2025-05,1,0,0.0,1,1.0,,
ソーシャルワーカー,DR_XX031,SL_0009,2025-05,1,0,0.0,1,1.0,,
ソーシャルワーカー,DR_XX031,SL_0767,2025-05,1,0,0.0,1,1.0,,
メンタルケア科,DR_MN002,SL_0009,2025-05,71,43,0.606,71,1.0,0.0,86.9
メンタルケア科,DR_MN004,SL_0255,2025-05,57,16,0.281,57,1.0,7.0,69.0
メンタルケア科,DR_MN001,SL_0043,2025-05,115,20,0.174,115,1.0,9.0,63.4
