診療科名,診療受付区分,予約フラグ,曜日,件数
PICCCVポートセンター,保留,枠なし予約,1,1
PICCCVポートセンター,保留,枠なし予約,2,1
PICCCVポートセンター,保留,枠なし予約,3,1
PICCCVポートセンター,病院到着,枠なし予約,0,1
PICCCVポートセンター,病院到着,枠なし予約,4,1
PICCCVポートセンター,終了,枠なし予約,0,8
PICCCVポートセンター,終了,枠なし予約,1,14
PICCCVポートセンター,終了,枠なし予約,2,8
PICCCVポートセンター,終了,枠なし予約,3,12
PICCCVポートセンター,終了,枠なし予約,4,7
がんゲノム,未来院,枠あり予約,1,2
がんゲノム,終了,枠あり予約,0,2
がんゲノム,終了,枠あり予約,1,7
アレルギー科,保留,枠あり予約,3,1
アレルギー科,未来院,枠あり予約,1,5
アレルギー科,未来院,枠あり予約,2,1
アレルギー科,未来院,枠あり予約,3,2
アレルギー科,終了,枠あり予約,0,19
アレルギー科,終了,枠あり予約,1,38
アレルギー科,終了,枠あり予約,2,35
アレルギー科,終了,枠あり予約,3,35
アレルギー科,終了,枠なし予約,0,3
アレルギー科,終了,枠なし予約,3,1
ソーシャルワーカー,保留,枠あり予約,1,1
ソーシャルワーカー,未来院,枠あり予約,0,4
ソーシャルワーカー,未来院,枠あり予約,1,4
ソーシャルワーカー,未来院,枠あり予約,2,3
ソーシャルワーカー,未来院,枠あり予約,3,2
ソーシャルワーカー,未来院,枠あり予約,4,4
ソーシャルワーカー,未来院,枠なし予約,2,3
ソーシャルワーカー,未来院,枠なし予約,3,1
ソーシャルワーカー,未来院,枠なし予約,4,1
ソーシャルワーカー,病院到着,枠あり予約,0,1
ソーシャルワーカー,病院到着,枠あり予約,1,1
ソーシャルワーカー,病院到着,枠あり予約,3,1
ソーシャルワーカー,病院到着,枠あり予約,4,1
ソーシャルワーカー,病院到着,枠なし予約,0,1
ソーシャルワーカー,病院到着,枠なし予約,1,1
ソーシャルワーカー,病院到着,枠なし予約,3,1
ソーシャルワーカー,病院到着,枠なし予約,4,1
ソーシャルワーカー,終了,枠あり予約,0,7
ソーシャルワーカー,終了,枠あり予約,1,16
ソーシャルワーカー,終了,枠あり予約,2,16
ソーシャルワーカー,終了,枠あり予約,3,13
ソーシャルワーカー,終了,枠あり予約,4,18
ソーシャルワーカー,終了,枠なし予約,0,1
ソーシャルワーカー,終了,枠なし予約,1,2
ソーシャルワーカー,終了,枠なし予約,2,2
ソーシャルワーカー,終了,枠なし予約,3,1
ソーシャルワーカー,終了,枠なし予約,4,4
メンタルケア科,6,枠あり予約,1,1
メンタルケア科,未来院,枠あり予約,0,1
メンタルケア科,未来院,枠あり予約,1,2
メンタルケア科,未来院,枠あり予約,2,10
メンタルケア科,未来院,枠あり予約,3,1
メンタルケア科,未来院,枠あり予約,4,1
メンタルケア科,未来院,枠なし予約,1,2
メンタルケア科,未来院,枠なし予約,2,1
メンタルケア科,未来院,枠なし予約,3,4
メンタルケア科,病院到着,枠あり予約,3,1
メンタルケア科,病院到着,枠あり予約,4,1
メンタルケア科,病院到着,枠なし予約,1,1
メンタルケア科,終了,枠あり予約,0,50
メンタルケア科,終了,枠あり予約,1,37
メンタルケア科,終了,枠あり予約,2,112
メンタルケア科,終了,枠あり予約,3,5
メンタルケア科,終了,枠あり予約,4,4
メンタルケア科,終了,枠なし予約,0,11
メンタルケア科,終了,枠なし予約,1,11
メンタルケア科,終了,枠なし予約,2,24
メンタルケア科,終了,枠なし予約,3,15
メンタルケア科,終了,枠なし予約,4,13
リウマチ膠原病内科,6,枠あり予約,1,3
リウマチ膠原病内科,7,枠あり予約,1,1
リウマチ膠原病内科,未来院,枠あり予約,0,1
リウマチ膠原病内科,未来院,枠あり予約,1,1
リウマチ膠原病内科,未来院,枠あり予約,2,8
リウマチ膠原病内科,未来院,枠あり予約,3,7
リウマチ膠原病内科,未来院,枠あり予約,4,2
リウマチ膠原病内科,未来院,枠なし予約,3,2
リウマチ膠原病内科,病院到着,枠あり予約,1,4
リウマチ膠原病内科,病院到着,枠あり予約,2,3
リウマチ膠原病内科,病院到着,枠あり予約,4,1
リウマチ膠原病内科,病院到着,枠あり予約,5,1
リウマチ膠原病内科,病院到着,枠なし予約,2,1
リウマチ膠原病内科,終了,枠あり予約,0,91
リウマチ膠原病内科,終了,枠あり予約,1,179
リウマチ膠原病内科,終了,枠あり予約,2,194
リウマチ膠原病内科,終了,枠あり予約,3,220
リウマチ膠原病内科,終了,枠あり予約,4,171
リウマチ膠原病内科,終了,枠なし予約,0,11
リウマチ膠原病内科,終了,枠なし予約,1,34
リウマチ膠原病内科,終了,枠なし予約,2,26
リウマチ膠原病内科,終了,枠なし予約,3,18
リウマチ膠原病内科,終了,枠なし予約,4,18
一般消化器外科,7,枠あり予約,1,1
一般消化器外科,7,枠なし予約,1,1
一般消化器外科,保留,枠あり予約,1,1
一般消化器外科,保留,枠あり予約,2,1
