診療科名,予約名称,区分,曜日,bin_idx,bin_label,稼働日数,該当日数,稼働頻度率,件数合計,実診察分数,件数_日平均,実診察分数_日平均
PICCCVポートセンター,SL_0009,全体,1,6,11:00,1,4,0.25,1,1,0.25,0.2
PICCCVポートセンター,SL_0009,全体,1,7,11:30,1,4,0.25,1,4,0.25,1.0
PICCCVポートセンター,SL_0009,全体,1,8,12:00,1,4,0.25,1,9,0.25,2.2
PICCCVポートセンター,SL_0009,全体,1,9,12:30,1,4,0.25,1,5,0.25,1.2
PICCCVポートセンター,SL_0009,全体,1,12,14:00,1,4,0.25,1,2,0.25,0.5
PICCCVポートセンター,SL_0009,全体,1,13,14:30,1,4,0.25,1,9,0.25,2.2
PICCCVポートセンター,SL_0009,全体,2,1,08:30,1,4,0.25,1,19,0.25,4.8
PICCCVポートセンター,SL_0009,全体,2,2,09:00,1,4,0.25,1,3,0.25,0.8
PICCCVポートセンター,SL_0009,全体,2,15,15:30,1,4,0.25,1,6,0.25,1.5
PICCCVポートセンター,SL_0009,全体,4,3,09:30,1,5,0.2,1,5,0.2,1.0
PICCCVポートセンター,SL_0009,全体,4,5,10:30,1,5,0.2,1,6,0.2,1.2
PICCCVポートセンター,SL_0009,再診,1,6,11:00,1,4,0.25,1,1,0.25,0.2
PICCCVポートセンター,SL_0009,再診,1,7,11:30,1,4,0.25,1,4,0.25,1.0
PICCCVポートセンター,SL_0009,再診,1,8,12:00,1,4,0.25,1,9,0.25,2.2
PICCCVポートセンター,SL_0009,再診,1,9,12:30,1,4,0.25,1,5,0.25,1.2
PICCCVポートセンター,SL_0009,再診,1,12,14:00,1,4,0.25,1,2,0.25,0.5
PICCCVポートセンター,SL_0009,再診,1,13,14:30,1,4,0.25,1,9,0.25,2.2
PICCCVポートセンター,SL_0009,再診,2,1,08:30,1,4,0.25,1,19,0.25,4.8
PICCCVポートセンター,SL_0009,再診,2,2,09:00,1,4,0.25,1,3,0.25,0.8
PICCCVポートセンター,SL_0009,再診,2,15,15:30,1,4,0.25,1,6,0.25,1.5
PICCCVポートセンター,SL_0009,再診,4,3,09:30,1,5,0.2,1,5,0.2,1.0
PICCCVポートセンター,SL_0009,再診,4,5,10:30,1,5,0.2,1,6,0.2,1.2
PICCCVポートセンター,SL_0009,薬再診,1,6,11:00,1,4,0.25,1,1,0.25,0.2
PICCCVポートセンター,SL_0009,薬再診,1,7,11:30,1,4,0.25,1,4,0.25,1.0
PICCCVポートセンター,SL_0009,薬再診,1,9,12:30,1,4,0.25,1,5,0.25,1.2
PICCCVポートセンター,SL_0009,薬再診,1,12,14:00,1,4,0.25,1,2,0.25,0.5
PICCCVポートセンター,SL_0009,薬再診,4,3,09:30,1,5,0.2,1,5,0.2,1.0
がんゲノム,SL_0088,全体,0,12,14:00,2,4,0.5,2,39,0.5,9.8
がんゲノム,SL_0088,全体,0,13,14:30,2,4,0.5,3,33,0.75,8.2
がんゲノム,SL_0088,全体,1,11,13:30,1,4,0.25,1,16,0.25,4.0
がんゲノム,SL_0088,全体,1,12,14:00,2,4,0.5,3,35,0.75,8.8
がんゲノム,SL_0088,全体,1,13,14:30,2,4,0.5,3,29,0.75,7.2
がんゲノム,SL_0088,全体,1,14,15:00,1,4,0.25,2,25,0.5,6.2
がんゲノム,SL_0088,再診,0,12,14:00,2,4,0.5,2,39,0.5,9.8
がんゲノム,SL_0088,再診,0,13,14:30,2,4,0.5,3,33,0.75,8.2
がんゲノム,SL_0088,再診,1,11,13:30,1,4,0.25,1,16,0.25,4.0
がんゲノム,SL_0088,再診,1,12,14:00,2,4,0.5,3,35,0.75,8.8
がんゲノム,SL_0088,再診,1,13,14:30,2,4,0.5,3,29,0.75,7.2
がんゲノム,SL_0088,再診,1,14,15:00,1,4,0.25,2,25,0.5,6.2
アレルギー科,SL_0009,全体,1,2,09:00,1,4,0.25,1,5,0.25,1.2
アレルギー科,SL_0009,全体,1,5,10:30,1,4,0.25,1,8,0.25,2.0
アレルギー科,SL_0009,全体,3,3,09:30,1,5,0.2,1,4,0.2,0.8
アレルギー科,SL_0009,全体,3,5,10:30,2,5,0.4,2,14,0.4,2.8
アレルギー科,SL_0009,全体,3,6,11:00,2,5,0.4,2,9,0.4,1.8
アレルギー科,SL_0009,全体,3,7,11:30,3,5,0.6,4,31,0.8,6.2
アレルギー科,SL_0009,再診,1,2,09:00,1,4,0.25,1,5,0.25,1.2
アレルギー科,SL_0009,再診,1,5,10:30,1,4,0.25,1,8,0.25,2.0
アレルギー科,SL_0009,再診,3,3,09:30,1,5,0.2,1,4,0.2,0.8
アレルギー科,SL_0009,再診,3,5,10:30,2,5,0.4,2,14,0.4,2.8
アレルギー科,SL_0009,再診,3,6,11:00,2,5,0.4,2,9,0.4,1.8
アレルギー科,SL_0009,再診,3,7,11:30,3,5,0.6,4,31,0.8,6.2
アレルギー科,SL_0009,薬再診,1,2,09:00,1,4,0.25,1,5,0.25,1.2
アレルギー科,SL_0009,薬再診,3,3,09:30,1,5,0.2,1,4,0.2,0.8
アレルギー科,SL_0009,薬再診,3,7,11:30,1,5,0.2,1,3,0.2,0.6
アレルギー科,SL_0033,全体,2,3,09:30,3,4,0.75,4,51,1.0,12.8
アレルギー科,SL_0033,全体,2,4,10:00,3,4,0.75,5,55,1.25,13.8
アレルギー科,SL_0033,全体,2,5,10:30,4,4,1.0,8,73,2.0,18.2
アレルギー科,SL_0033,全体,2,6,11:00,4,4,1.0,4,31,1.0,7.8
アレルギー科,SL_0033,全体,2,7,11:30,4,4,1.0,6,48,1.5,12.0
アレルギー科,SL_0033,全体,2,8,12:00,1,4,0.25,1,6,0.25,1.5
アレルギー科,SL_0033,全体,2,10,13:00,1,4,0.25,1,7,0.25,1.8
アレルギー科,SL_0033,再診,2,3,09:30,3,4,0.75,4,51,1.0,12.8
