診療科名,曜日,時間帯ゾーン,初再診区分,件数
PICCCVポートセンター,0,午前(〜12時),再診,2
PICCCVポートセンター,0,午後前半(12-15時),再診,1
PICCCVポートセンター,0,午後後半(15-17時),再診,1
PICCCVポートセンター,1,午前(〜12時),再診,10
PICCCVポートセンター,1,午後前半(12-15時),再診,3
PICCCVポートセンター,2,午前(〜12時),再診,8
PICCCVポートセンター,2,午後前半(12-15時),再診,1
PICCCVポートセンター,3,午前(〜12時),再診,5
PICCCVポートセンター,3,午後前半(12-15時),再診,2
PICCCVポートセンター,4,午前(〜12時),再診,10
がんゲノム,0,午前(〜12時),再診,1
がんゲノム,1,午後前半(12-15時),再診,5
アレルギー科,0,午前(〜12時),再診,22
アレルギー科,0,午前(〜12時),初診,1
アレルギー科,1,午前(〜12時),再診,50
アレルギー科,2,午前(〜12時),再診,23
アレルギー科,3,午前(〜12時),再診,46
アレルギー科,3,夕方以降(17時〜),再診,1
ソーシャルワーカー,0,午前(〜12時),再診,15
ソーシャルワーカー,0,午後前半(12-15時),再診,4
ソーシャルワーカー,0,午後後半(15-17時),再診,4
ソーシャルワーカー,0,夕方以降(17時〜),再診,3
ソーシャルワーカー,1,午前(〜12時),再診,13
ソーシャルワーカー,1,午後前半(12-15時),再診,6
ソーシャルワーカー,1,午後後半(15-17時),再診,5
ソーシャルワーカー,1,夕方以降(17時〜),再診,3
ソーシャルワーカー,2,午前(〜12時),再診,19
ソーシャルワーカー,2,午後前半(12-15時),再診,5
ソーシャルワーカー,3,午前(〜12時),再診,17
ソーシャルワーカー,3,午後前半(12-15時),再診,2
ソーシャルワーカー,3,午後後半(15-17時),再診,2
ソーシャルワーカー,4,午前(〜12時),再診,19
ソーシャルワーカー,4,午後前半(12-15時),再診,4
ソーシャルワーカー,4,午後後半(15-17時),再診,3
ソーシャルワーカー,4,夕方以降(17時〜),再診,2
メンタルケア科,0,午前(〜12時),再診,78
メンタルケア科,0,午後前半(12-15時),再診,1
メンタルケア科,1,午前(〜12時),再診,14
