診療科名,曜日,bin_idx,bin_label,到着件数_日平均,同時並行_中央値,同時並行_最大,該当日数
PICCCVポートセンター,1,6,11:00,1.0,1.0,1,1
PICCCVポートセンター,1,8,12:00,1.0,1.0,1,1
PICCCVポートセンター,2,5,10:30,1.0,1.0,1,1
PICCCVポートセンター,4,4,10:00,1.0,1.0,1,1
PICCCVポートセンター,4,8,12:00,1.0,1.0,1,1
PICCCVポートセンター,4,9,12:30,1.0,1.0,1,2
PICCCVポートセンター,4,10,13:00,0.0,1.0,1,1
PICCCVポートセンター,4,11,13:30,0.0,1.0,1,1
PICCCVポートセンター,4,12,14:00,0.0,1.0,1,1
PICCCVポートセンター,4,13,14:30,0.0,1.0,1,1
PICCCVポートセンター,4,14,15:00,0.0,1.0,1,1
PICCCVポートセンター,4,15,15:30,0.0,1.0,1,1
がんゲノム,0,10,13:00,1.0,1.0,1,1
がんゲノム,1,12,14:00,1.0,1.0,1,1
がんゲノム,1,13,14:30,1.0,1.5,2,2
がんゲノム,1,14,15:00,1.0,1.0,1,3
アレルギー科,0,2,09:00,1.0,1.0,1,2
アレルギー科,0,3,09:30,2.0,2.0,4,3
アレルギー科,0,4,10:00,2.0,2.0,3,3
アレルギー科,0,5,10:30,1.33,2.0,3,3
アレルギー科,0,6,11:00,1.0,1.0,1,2
アレルギー科,1,2,09:00,2.25,2.0,3,4
アレルギー科,1,3,09:30,2.0,3.0,3,4
アレルギー科,1,4,10:00,2.0,1.5,3,4
アレルギー科,1,5,10:30,2.0,3.0,3,4
アレルギー科,1,6,11:00,2.5,3.5,5,4
アレルギー科,1,7,11:30,2.0,2.0,4,3
アレルギー科,1,8,12:00,0.0,1.0,1,2
アレルギー科,2,3,09:30,1.67,2.0,2,3
アレルギー科,2,4,10:00,1.67,2.0,2,3
アレルギー科,2,5,10:30,2.0,2.0,3,3
アレルギー科,2,6,11:00,2.0,2.5,4,2
アレルギー科,2,7,11:30,1.5,2.0,3,2
アレルギー科,2,9,12:30,1.0,1.0,1,1
アレルギー科,3,2,09:00,1.0,1.0,1,1
アレルギー科,3,3,09:30,2.0,2.0,3,4
アレルギー科,3,4,10:00,2.0,2.5,4,4
アレルギー科,3,5,10:30,3.0,3.5,4,4
アレルギー科,3,6,11:00,2.5,1.5,4,4
アレルギー科,3,7,11:30,2.0,1.0,3,3
アレルギー科,3,8,12:00,1.0,2.0,2,1
メンタルケア科,0,0,08:00,1.0,1.0,1,1
メンタルケア科,0,1,08:30,1.0,1.0,1,3
メンタルケア科,0,2,09:00,3.33,3.0,4,3
メンタルケア科,0,3,09:30,3.0,5.0,6,3
メンタルケア科,0,4,10:00,3.33,5.0,6,3
メンタルケア科,0,5,10:30,2.67,4.0,5,3
メンタルケア科,0,6,11:00,3.33,4.0,6,3
メンタルケア科,0,7,11:30,2.0,3.0,4,3
メンタルケア科,0,8,12:00,1.33,2.0,3,3
メンタルケア科,0,9,12:30,0.0,1.0,1,2
メンタルケア科,0,10,13:00,2.0,2.0,2,1
メンタルケア科,0,11,13:30,1.0,1.0,1,1
メンタルケア科,0,12,14:00,1.0,1.5,2,2
メンタルケア科,0,13,14:30,0.0,1.0,1,2
メンタルケア科,1,7,11:30,1.0,1.0,1,1
メンタルケア科,1,8,12:00,1.0,1.0,1,2
メンタルケア科,1,9,12:30,1.0,1.0,1,3
メンタルケア科,1,10,13:00,2.0,2.0,3,4
メンタルケア科,1,11,13:30,1.5,2.5,3,4
メンタルケア科,1,12,14:00,2.0,2.5,4,4
メンタルケア科,1,13,14:30,1.67,3.0,3,3
メンタルケア科,1,14,15:00,2.0,3.0,3,3
メンタルケア科,1,15,15:30,2.0,3.0,4,3
メンタルケア科,1,16,16:00,2.0,2.0,2,3
メンタルケア科,1,17,16:30,1.0,1.0,2,3
メンタルケア科,1,18,17:00,0.0,1.5,2,2
メンタルケア科,2,1,08:30,3.33,3.0,4,3
メンタルケア科,2,2,09:00,3.33,5.0,5,3
メンタルケア科,2,3,09:30,3.0,5.0,5,3
