診療科名,曜日,受付h,件数,待_中央値,待_平均,待_Q1,待_Q3,診察_中央値,診察_平均,診察_Q3,会計_中央値,会計_平均
PICCCVポートセンター,0,7,1.0,166.0,166.0,166.0,166.0,0.0,0.0,0.0,,
PICCCVポートセンター,0,9,4.0,45.5,46.2,29.2,62.5,0.0,0.0,0.0,,
PICCCVポートセンター,0,10,5.0,75.0,90.4,53.0,105.0,0.0,0.4,1.0,,
PICCCVポートセンター,0,11,3.0,0.0,28.3,0.0,42.5,0.0,0.0,0.0,,
PICCCVポートセンター,0,12,4.0,80.5,91.5,51.8,120.2,0.0,9.5,9.5,,
PICCCVポートセンター,0,13,2.0,6.5,6.5,3.2,9.8,0.0,0.0,0.0,,
PICCCVポートセンター,1,7,1.0,239.0,239.0,239.0,239.0,0.0,0.0,0.0,,
PICCCVポートセンター,1,8,1.0,142.0,142.0,142.0,142.0,0.0,0.0,0.0,,
PICCCVポートセンター,1,9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
PICCCVポートセンター,1,10,3.0,0.0,13.7,0.0,20.5,0.0,0.0,0.0,,
PICCCVポートセンター,1,11,2.0,103.0,103.0,51.5,154.5,0.0,0.0,0.0,,
PICCCVポートセンター,1,16,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
PICCCVポートセンター,2,7,1.0,253.0,253.0,253.0,253.0,0.0,0.0,0.0,,
PICCCVポートセンター,2,8,1.0,52.0,52.0,52.0,52.0,0.0,0.0,0.0,,
PICCCVポートセンター,2,9,3.0,56.0,46.7,40.5,57.5,0.0,5.3,8.0,,
PICCCVポートセンター,2,10,6.0,42.5,92.5,0.0,163.0,0.0,0.0,0.0,,
PICCCVポートセンター,3,8,1.0,171.0,171.0,171.0,171.0,0.0,0.0,0.0,,
PICCCVポートセンター,3,9,3.0,224.0,234.3,124.0,339.5,0.0,13.0,19.5,,
PICCCVポートセンター,3,10,1.0,81.0,81.0,81.0,81.0,0.0,0.0,0.0,,
PICCCVポートセンター,3,11,3.0,52.0,90.3,26.0,135.5,0.0,0.0,0.0,,
PICCCVポートセンター,3,12,1.0,36.0,36.0,36.0,36.0,0.0,0.0,0.0,300.0,300.0
PICCCVポートセンター,3,13,1.0,22.0,22.0,22.0,22.0,0.0,0.0,0.0,,
PICCCVポートセンター,4,8,1.0,69.0,69.0,69.0,69.0,0.0,0.0,0.0,,
PICCCVポートセンター,4,9,2.0,6.0,6.0,3.0,9.0,6.0,6.0,9.0,,
PICCCVポートセンター,4,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
PICCCVポートセンター,4,11,2.0,44.0,44.0,22.0,66.0,0.0,0.0,0.0,,
PICCCVポートセンター,4,13,1.0,13.0,13.0,13.0,13.0,0.0,0.0,0.0,,
がんゲノム,0,11,1.0,168.0,168.0,168.0,168.0,3.0,3.0,3.0,,
がんゲノム,0,13,2.0,38.0,38.0,29.5,46.5,23.0,23.0,24.0,,
がんゲノム,0,14,2.0,33.5,33.5,32.8,34.2,30.0,30.0,30.5,,
がんゲノム,1,13,5.0,38.0,31.8,20.0,42.0,24.0,21.0,25.0,,
がんゲノム,1,14,2.0,17.0,17.0,14.0,20.0,17.0,17.0,22.5,,
アレルギー科,0,0,5.0,,,,,,,,,
アレルギー科,0,8,6.0,45.0,47.3,29.5,55.2,8.5,8.3,9.0,23.0,21.5
アレルギー科,0,9,15.0,13.0,21.5,10.0,31.5,7.0,8.1,9.0,19.0,25.6
アレルギー科,0,10,10.0,11.0,15.1,2.0,25.0,9.5,10.8,14.0,25.5,65.3
アレルギー科,0,11,1.0,4.0,4.0,4.0,4.0,14.0,14.0,14.0,71.0,71.0
アレルギー科,1,0,2.0,,,,,,,,,
アレルギー科,1,8,18.0,41.0,54.0,26.5,77.2,5.0,6.2,7.8,13.0,17.5
アレルギー科,1,9,27.0,33.0,45.1,18.0,74.0,5.0,5.3,6.5,18.5,40.0
アレルギー科,1,10,21.0,34.0,39.5,27.0,44.0,7.0,8.0,10.0,35.0,65.1
アレルギー科,1,11,1.0,33.0,33.0,33.0,33.0,0.0,0.0,0.0,,
アレルギー科,2,0,5.0,,,,,,,,,
アレルギー科,2,8,12.0,89.0,105.0,81.5,106.0,10.0,8.4,11.0,21.5,29.2
アレルギー科,2,9,11.0,62.0,60.8,21.0,81.5,9.0,9.6,11.5,18.0,49.1
