診療科名,予約担当者匿名ID,予約名称,初再診区分,紹介状有無,月,件数
PICCCVポートセンター,DR_XX009,SL_0009,再診,紹介状無し,2026-03,58
がんゲノム,DR_ON001,SL_0088,再診,紹介状無し,2026-03,12
アレルギー科,DR_AL001,SL_0009,再診,紹介状無し,2026-03,1
アレルギー科,DR_AL001,SL_0033,再診,紹介状無し,2026-03,31
アレルギー科,DR_AL001,SL_0736,再診,紹介状無し,2026-03,2
アレルギー科,DR_AL001,SL_0820,再診,紹介状無し,2026-03,1
アレルギー科,DR_AL002,SL_0009,再診,紹介状無し,2026-03,8
アレルギー科,DR_AL002,SL_0189,再診,紹介状無し,2026-03,39
アレルギー科,DR_AL002,SL_0189,初診,紹介状無し,2026-03,1
アレルギー科,DR_AL002,SL_0628,初診,紹介状あり,2026-03,1
アレルギー科,DR_AL003,SL_0783,再診,紹介状無し,2026-03,1
アレルギー科,DR_AL004,SL_0005,再診,紹介状無し,2026-03,1
アレルギー科,DR_RS2003,SL_0061,再診,紹介状無し,2026-03,62
アレルギー科,DR_RS2003,SL_0361,再診,紹介状無し,2026-03,5
アレルギー科,DR_RS2005,SL_0100,再診,紹介状無し,2026-03,37
ソーシャルワーカー,DR_XX001,SL_0009,再診,紹介状無し,2026-03,20
ソーシャルワーカー,DR_XX001,SL_0011,再診,紹介状無し,2026-03,112
ソーシャルワーカー,DR_XX031,SL_0767,再診,紹介状無し,2026-03,2
ソーシャルワーカー,DR_XX034,SL_0009,再診,紹介状無し,2026-03,1
ソーシャルワーカー,DR_XX034,SL_0825,再診,紹介状無し,2026-03,1
メンタルケア科,DR_MN001,SL_0043,再診,紹介状無し,2026-03,123
メンタルケア科,DR_MN001,SL_0624,再診,紹介状無し,2026-03,9
メンタルケア科,DR_MN002,SL_0009,再診,紹介状無し,2026-03,86
メンタルケア科,DR_MN004,SL_0009,再診,紹介状無し,2026-03,5
メンタルケア科,DR_MN004,SL_0255,再診,紹介状無し,2026-03,80
メンタルケア科,DR_MN004,SL_0545,再診,紹介状無し,2026-03,6
メンタルケア科,DR_MN005,SL_0609,再診,紹介状無し,2026-03,10
メンタルケア科,DR_MN006,SL_0005,再診,紹介状無し,2026-03,2
メンタルケア科,DR_MN007,SL_0009,再診,紹介状無し,2026-03,1
メンタルケア科,DR_MN008,SL_0678,再診,紹介状無し,2026-03,5
メンタルケア科,DR_MN009,SL_0721,再診,紹介状無し,2026-03,40
メンタルケア科,DR_MN009,SL_0763,再診,紹介状無し,2026-03,6
