診療科名,月,初再診区分,紹介状有無,件数
PICCCVポートセンター,2026-04,再診,紹介状無し,52
がんゲノム,2026-04,再診,紹介状無し,13
アレルギー科,2026-04,再診,紹介状無し,153
アレルギー科,2026-04,初診,紹介状あり,1
ソーシャルワーカー,2026-04,再診,紹介状無し,94
メンタルケア科,2026-04,再診,紹介状無し,302
リウマチ膠原病内科,2026-04,再診,紹介状無し,819
リウマチ膠原病内科,2026-04,初診,紹介状あり,17
リウマチ膠原病内科,2026-04,初診,紹介状無し,1
一般消化器外科,2026-04,再診,紹介状あり,1
一般消化器外科,2026-04,再診,紹介状無し,773
一般消化器外科,2026-04,初診,紹介状あり,34
一般消化器外科,2026-04,初診,紹介状無し,8
中央処置室,2026-04,再診,紹介状無し,151
乳腺外科,2026-04,再診,紹介状無し,1015
乳腺外科,2026-04,初診,紹介状あり,42
乳腺外科,2026-04,初診,紹介状無し,9
健診センター,2026-04,再診,紹介状無し,65
入退院支援センター,2026-04,再診,紹介状無し,562
内科,2026-04,再診,紹介状あり,14
内科,2026-04,再診,紹介状無し,98
内科,2026-04,初診,紹介状あり,18
内科,2026-04,初診,紹介状無し,121
呼吸器内科,2026-04,再診,紹介状あり,2
呼吸器内科,2026-04,再診,紹介状無し,936
呼吸器内科,2026-04,初診,紹介状あり,51
呼吸器内科,2026-04,初診,紹介状無し,9
呼吸器外科,2026-04,再診,紹介状無し,148
呼吸器外科,2026-04,初診,紹介状あり,3
外来手術室,2026-04,再診,紹介状無し,374
小児科,2026-04,再診,紹介状あり,3
小児科,2026-04,再診,紹介状無し,363
小児科,2026-04,初診,紹介状あり,50
小児科,2026-04,初診,紹介状無し,40
形成外科,2026-04,再診,紹介状無し,357
形成外科,2026-04,初診,紹介状あり,16
形成外科,2026-04,初診,紹介状無し,4
循環器内科,2026-04,再診,紹介状あり,6
循環器内科,2026-04,再診,紹介状無し,1130
循環器内科,2026-04,初診,紹介状あり,103
循環器内科,2026-04,初診,紹介状無し,17
心臓血管外科,2026-04,再診,紹介状無し,86
心臓血管外科,2026-04,初診,紹介状あり,3
心臓血管外科,2026-04,初診,紹介状無し,1
感染症,2026-04,再診,紹介状無し,23
放射線治療科,2026-04,再診,紹介状無し,741
放射線治療科,2026-04,初診,紹介状あり,8
放射線治療科,2026-04,初診,紹介状無し,1
放射線診断科,2026-04,再診,紹介状無し,2
救急科,2026-04,再診,紹介状あり,2
救急科,2026-04,再診,紹介状無し,84
救急科,2026-04,初診,紹介状あり,8
救急科,2026-04,初診,紹介状無し,158
整形外科,2026-04,再診,紹介状あり,7
整形外科,2026-04,再診,紹介状無し,1227
整形外科,2026-04,初診,紹介状あり,156
整形外科,2026-04,初診,紹介状無し,14
歯科口腔外科,2026-04,再診,紹介状あり,1
歯科口腔外科,2026-04,再診,紹介状無し,575
歯科口腔外科,2026-04,初診,紹介状あり,113
歯科口腔外科,2026-04,初診,紹介状無し,43
泌尿器科,2026-04,再診,紹介状あり,1
泌尿器科,2026-04,再診,紹介状無し,2886
泌尿器科,2026-04,初診,紹介状あり,63
泌尿器科,2026-04,初診,紹介状無し,25
消化器内科,2026-04,再診,紹介状あり,1
消化器内科,2026-04,再診,紹介状無し,1068
消化器内科,2026-04,初診,紹介状あり,103
消化器内科,2026-04,初診,紹介状無し,15
産婦人科,2026-04,再診,紹介状あり,2
産婦人科,2026-04,再診,紹介状無し,1443
産婦人科,2026-04,初診,紹介状あり,94
産婦人科,2026-04,初診,紹介状無し,24
皮膚・排泄ケア,2026-04,再診,紹介状無し,44
皮膚科,2026-04,再診,紹介状無し,852
皮膚科,2026-04,初診,紹介状あり,64
皮膚科,2026-04,初診,紹介状無し,18
看護部,2026-04,再診,紹介状無し,115
眼科,2026-04,再診,紹介状無し,2344
眼科,2026-04,初診,紹介状あり,176
眼科,2026-04,初診,紹介状無し,17
禁煙外来,2026-04,再診,紹介状無し,4
移行期医療支援外来,2026-04,再診,紹介状無し,1
糖尿病内分泌内科,2026-04,再診,紹介状無し,65
糖尿病内分泌内科,2026-04,初診,紹介状あり,7
総合内科,2026-04,再診,紹介状あり,1
総合内科,2026-04,再診,紹介状無し,725
総合内科,2026-04,初診,紹介状あり,89
総合内科,2026-04,初診,紹介状無し,54
緩和ケアチーム,2026-04,再診,紹介状無し,19
緩和ケア内科,2026-04,再診,紹介状無し,3
耳鼻咽喉科,2026-04,再診,紹介状あり,2
耳鼻咽喉科,2026-04,再診,紹介状無し,1144
耳鼻咽喉科,2026-04,初診,紹介状あり,92
耳鼻咽喉科,2026-04,初診,紹介状無し,33
脳神経内科,2026-04,再診,紹介状無し,341
脳神経内科,2026-04,初診,紹介状あり,38
脳神経内科,2026-04,初診,紹介状無し,2
脳神経外科,2026-04,再診,紹介状あり,1
脳神経外科,2026-04,再診,紹介状無し,162
脳神経外科,2026-04,初診,紹介状あり,15
脳神経外科,2026-04,初診,紹介状無し,10
腎内科,2026-04,再診,紹介状無し,567
腎内科,2026-04,初診,紹介状あり,16
腎内科,2026-04,初診,紹介状無し,3
臨床工学技師,2026-04,再診,紹介状無し,170
臨床腫瘍科,2026-04,再診,紹介状無し,121
薬剤部,2026-04,再診,紹介状無し,121
血液内科,2026-04,再診,紹介状無し,689
血液内科,2026-04,初診,紹介状あり,14
退院支援,2026-04,再診,紹介状無し,120
通院治療センター,2026-04,再診,紹介状無し,32
遺伝診療科,2026-04,再診,紹介状あり,1
遺伝診療科,2026-04,再診,紹介状無し,45
遺伝診療科,2026-04,初診,紹介状あり,1
遺伝診療科,2026-04,初診,紹介状無し,2
骨転移カンファレンス,2026-04,再診,紹介状無し,11
麻酔科,2026-04,再診,紹介状無し,320
ﾘﾊﾋﾞﾘﾃｰｼｮﾝ科,2026-04,再診,紹介状無し,85
ﾘﾊﾋﾞﾘﾃｰｼｮﾝ科,2026-04,初診,紹介状あり,1
