診療科名,月,総件数,初診件数,再診件数,紹介状あり初診,紹介状あり全件,未来院件数,初診率,紹介率,紹介状率_全体,未来院率
PICCCVポートセンター,2026-04,52,0,52,0,0,0,0.0,0.0,0.0,0.0
がんゲノム,2026-04,13,0,13,0,0,0,0.0,0.0,0.0,0.0
アレルギー科,2026-04,154,1,153,1,1,9,0.65,100.0,0.65,5.84
ソーシャルワーカー,2026-04,94,0,94,0,0,24,0.0,0.0,0.0,25.53
メンタルケア科,2026-04,302,0,302,0,0,13,0.0,0.0,0.0,4.3
リウマチ膠原病内科,2026-04,837,18,819,17,17,27,2.15,94.44,2.03,3.23
一般消化器外科,2026-04,816,42,774,34,35,78,5.15,80.95,4.29,9.56
中央処置室,2026-04,151,0,151,0,0,6,0.0,0.0,0.0,3.97
乳腺外科,2026-04,1066,51,1015,42,42,74,4.78,82.35,3.94,6.94
健診センター,2026-04,65,0,65,0,0,6,0.0,0.0,0.0,9.23
入退院支援センター,2026-04,562,0,562,0,0,0,0.0,0.0,0.0,0.0
内科,2026-04,251,139,112,18,32,2,55.38,12.95,12.75,0.8
呼吸器内科,2026-04,998,60,938,51,53,43,6.01,85.0,5.31,4.31
呼吸器外科,2026-04,151,3,148,3,3,4,1.99,100.0,1.99,2.65
外来手術室,2026-04,374,0,374,0,0,18,0.0,0.0,0.0,4.81
小児科,2026-04,456,90,366,50,53,43,19.74,55.56,11.62,9.43
形成外科,2026-04,377,20,357,16,16,26,5.31,80.0,4.24,6.9
循環器内科,2026-04,1256,120,1136,103,109,37,9.55,85.83,8.68,2.95
心臓血管外科,2026-04,90,4,86,3,3,2,4.44,75.0,3.33,2.22
感染症,2026-04,23,0,23,0,0,4,0.0,0.0,0.0,17.39
放射線治療科,2026-04,750,9,741,8,8,20,1.2,88.89,1.07,2.67
放射線診断科,2026-04,2,0,2,0,0,0,0.0,0.0,0.0,0.0
救急科,2026-04,252,166,86,8,10,3,65.87,4.82,3.97,1.19
整形外科,2026-04,1404,170,1234,156,163,87,12.11,91.76,11.61,6.2
歯科口腔外科,2026-04,732,156,576,113,114,28,21.31,72.44,15.57,3.83
泌尿器科,2026-04,2975,88,2887,63,64,148,2.96,71.59,2.15,4.97
消化器内科,2026-04,1187,118,1069,103,104,42,9.94,87.29,8.76,3.54
産婦人科,2026-04,1563,118,1445,94,96,169,7.55,79.66,6.14,10.81
皮膚・排泄ケア,2026-04,44,0,44,0,0,40,0.0,0.0,0.0,90.91
皮膚科,2026-04,934,82,852,64,64,46,8.78,78.05,6.85,4.93
看護部,2026-04,115,0,115,0,0,22,0.0,0.0,0.0,19.13
眼科,2026-04,2537,193,2344,176,176,98,7.61,91.19,6.94,3.86
禁煙外来,2026-04,4,0,4,0,0,0,0.0,0.0,0.0,0.0
移行期医療支援外来,2026-04,1,0,1,0,0,0,0.0,0.0,0.0,0.0
糖尿病内分泌内科,2026-04,72,7,65,7,7,3,9.72,100.0,9.72,4.17
総合内科,2026-04,869,143,726,89,90,30,16.46,62.24,10.36,3.45
緩和ケアチーム,2026-04,19,0,19,0,0,11,0.0,0.0,0.0,57.89
緩和ケア内科,2026-04,3,0,3,0,0,1,0.0,0.0,0.0,33.33
耳鼻咽喉科,2026-04,1271,125,1146,92,94,51,9.83,73.6,7.4,4.01
脳神経内科,2026-04,381,40,341,38,38,12,10.5,95.0,9.97,3.15
脳神経外科,2026-04,188,25,163,15,16,4,13.3,60.0,8.51,2.13
腎内科,2026-04,586,19,567,16,16,19,3.24,84.21,2.73,3.24
臨床工学技師,2026-04,170,0,170,0,0,134,0.0,0.0,0.0,78.82
臨床腫瘍科,2026-04,121,0,121,0,0,3,0.0,0.0,0.0,2.48
薬剤部,2026-04,121,0,121,0,0,6,0.0,0.0,0.0,4.96
血液内科,2026-04,703,14,689,14,14,29,1.99,100.0,1.99,4.13
退院支援,2026-04,120,0,120,0,0,107,0.0,0.0,0.0,89.17
通院治療センター,2026-04,32,0,32,0,0,1,0.0,0.0,0.0,3.12
遺伝診療科,2026-04,49,3,46,1,2,3,6.12,33.33,4.08,6.12
骨転移カンファレンス,2026-04,11,0,11,0,0,8,0.0,0.0,0.0,72.73
麻酔科,2026-04,320,0,320,0,0,1,0.0,0.0,0.0,0.31
ﾘﾊﾋﾞﾘﾃｰｼｮﾝ科,2026-04,86,1,85,1,1,3,1.16,100.0,1.16,3.49
